name,rating,review
"        Hamilton Beach 12 Cup Programmable Coffee Maker, Brew Options, Glass Carafe (46299), Black with Stainless Accents       ",5.0 out of 5 stars,"I've been meaning to write this a while: I LOVE IT - Prior to this, probably for 15 years!) I used a 12 cup Mr Coffee with auto shutoff, and I wanted a good, simple, reliable 12 cup coffee maker with auto shut off, that's all. I read the reviews in here on all the coffee makers with these features and then narrowed down to this, and a few higher priced units. This seemed the best deal, and I'm very happy I decided on it. All the issues I had with the Mr Coffee, (and the only issue that comes to mind was that pouring with a full carafe meant uncontrollable spills, lol) have been solved by Hamilton Beach, and every time I make a pot of coffee, I think about how much I love this coffee maker, and how I should make sure to put a review up for everybody to use in their decision making. I've tried the different settings - 'Bold', 'Regular' and '1-4 cups', and all work as advertised. Programming is easy and reliable, and I'm very happy with my purchase."
"        Hamilton Beach 12 Cup Programmable Coffee Maker, Brew Options, Glass Carafe (46299), Black with Stainless Accents       ",5.0 out of 5 stars,"I can't imagine what the negative reviews are about.  I love this coffee maker.  I replace my machine annually and at this price, I can afford to.  It makes good, hot strong coffee and fully saturates the beans.  The warmer keeps the coffee hot without a burnt or bitter taste.  The pause and pour works as well as any other brand that I have purchased, and I learned long ago to stop throwing money away on expensive brands (that are like rolling the device with your substantial investment).  This coffee maker is a workhorse that gives me a good cup of java every morning."
"        Hamilton Beach 12 Cup Programmable Coffee Maker, Brew Options, Glass Carafe (46299), Black with Stainless Accents       ",5.0 out of 5 stars,"Ok, I do not drink coffee, but ""the one who must be obeyed"" does.  She likes it; says it makes good coffee.  Guests say the same.  It is easy to operate, easy to clean.  Our previous one lasted 7-8 years before it clogged (she did not clean it regularly).  You need to clean the reservoir about every 100 cups if you have a lot of calcium carbonate (white chalky residue-water spots) in your water.  I use a vinegar flush, but you follow the instructions."
"        Hamilton Beach 12 Cup Programmable Coffee Maker, Brew Options, Glass Carafe (46299), Black with Stainless Accents       ",5.0 out of 5 stars,"Paid 24 bucks for this great little coffee maker. This is after returning a coffee maker costing quadruple. (I won't mention the brand name, but it begins with a C). Returned that maker because that brand had jumped on this whole ""hotter is better"" nonsense. People, you must remember, there is a constant battle by these corporations to get inside your wallet. Any marketing myth, half truth, or trend du jour, that helps them accomplish this is just fine by them. Nothing is further from the truth than this notion that brewing coffee with water that is practically boiling hot makes the best tasting coffee. In fact the opposite is true. It actually results in coffee tasting stripped of all it's flavor and having a dry, burnt flavor. Not a fan of D.D. coffee?? This is exactly why you are not. I wouldn't exactly say I'm a coffee snob, however, I do insist on a great cuppa in the morning. I can assure you this 24 dollar coffee maker makes a really great tasting cup of coffee. On the negative side of things I would say that what other reviewers have noted about the carafe's glass being a bit delicate is true, so be careful. Not really an issue for me so far."
"        Hamilton Beach 12 Cup Programmable Coffee Maker, Brew Options, Glass Carafe (46299), Black with Stainless Accents       ",5.0 out of 5 stars,"_Edit 12/7/2019_  Two years later and this thing's still going strong! Best $24.95 I ever spent. For value, upgrading my score from 4 to 5 stars."
"        Hamilton Beach 12 Cup Programmable Coffee Maker, Brew Options, Glass Carafe (46299), Black with Stainless Accents       ",5.0 out of 5 stars,I used to turn to Mr. Coffee for inexpensive or at least reasonably priced coffee makers.  In recent years the build  quality of Mr. Coffee has gone way down. I went through three different coffee makers within 3-6 months.  I turned to Hamilton Beach.  I have one that's been doing daily duty for years.  My mom experienced the same thing with her Mr. Coffees.  So I bought her this model.  It's still going strong.
"        Hamilton Beach 12 Cup Programmable Coffee Maker, Brew Options, Glass Carafe (46299), Black with Stainless Accents       ",5.0 out of 5 stars,"This Hamilton beach coffee maker is so easy to use. I love to wake up in the mornings to the smell of coffee so the programmable timer works great for me. It's super easy to clean and even has the option of a reusable coffee filter. It also has a large opening to the water reservoir which makes it easy to fill without spilling like other coffee makers. I know I can rely on this coffee to get my day going, I'd give it 6 stars if I could."
"        Hamilton Beach 12 Cup Programmable Coffee Maker, Brew Options, Glass Carafe (46299), Black with Stainless Accents       ",5.0 out of 5 stars,"
                    The media could not be loaded.
                "
"        Hamilton Beach 12 Cup Programmable Coffee Maker, Brew Options, Glass Carafe (46299), Black with Stainless Accents       ",1.0 out of 5 stars, Easy set clock
"        Hamilton Beach 12 Cup Programmable Coffee Maker, Brew Options, Glass Carafe (46299), Black with Stainless Accents       ",4.0 out of 5 stars,And program brew...
